,Address,Area,Beds,Full Bath,Half Bath,Locality,Price,Property Age
0,0 Gateway,,,,,"Rock Springs, WY 82901","$725,000",
1,1003 Winchester Blvd.,,4,4,,"Rock Springs, WY 82901","$452,900",New Construction
2,600 Talladega,"3,154",5,3,,"Rock Springs, WY 82901","$396,900",6-10 Years Old
3,3239 Spearhead Way,"3,076",4,3,1,"Rock Springs, WY 82901","$389,900",1-5 Years Old
4,522 Emerald Street,"1,172",3,3,,"Rock Springs, WY 82901","$254,000",31-40 Years Old
5,1302 Veteran's Drive,"1,932",4,2,,"Rock Springs, WY 82901","$252,900",
6,1021 Cypress Cir,"1,676",4,3,,"Rock Springs, WY 82901","$210,000",21-30 Years Old
7,913 Madison Dr,"1,344",3,2,,"Rock Springs, WY 82901","$209,000",21-30 Years Old
8,1344 Teton Street,"1,920",3,2,,"Rock Springs, WY 82901","$199,900",41-50 Years Old
9,4 Minnies Lane,"1,664",3,2,,"Rock Springs, WY 82901","$196,900",
